run_id,mode,experiment,priority,description,status,n_splits,params,duration_sec,valid_n_eval_mean,valid_n_eval_total,valid_recall@5_mean,valid_recall@5_std,valid_recall@5_se,valid_recall@5_micro,valid_recall@10_mean,valid_recall@10_std,valid_recall@10_se,valid_recall@10_micro,valid_recall@20_mean,valid_recall@20_std,valid_recall@20_se,valid_recall@20_micro,valid_recall@5_comparison_baseline,valid_recall@5_delta_vs_baseline,valid_recall@5_wins_vs_baseline,valid_recall@5_losses_vs_baseline,valid_recall@5_ties_vs_baseline,valid_recall@5_n_compared_vs_baseline
rerank_20260625T183829Z,cv,candidate_rrf_sparse_deep_legal_lemma_char,P0,No-rerank candidate baseline from rrf_sparse_deep_legal_lemma_char.,ok,5,"{""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""depth"": 100}",11.717119932174683,107.8,539,0.48791969539633095,0.06957649659091832,0.031115555202715146,0.48794063079777367,0.632692973347179,0.04379774686551261,0.019586947850522906,0.6326530612244898,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,0.0,0,0,539,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c1_max_ce,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=1, agg=max, score=ce.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c1_max_ce"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 1, ""chunk_agg"": ""max"", ""score_mode"": ""ce""}",197.59159207344055,107.8,539,0.40996884735202493,0.06079906364476481,0.02719016785560605,0.4100185528756957,0.5398926964347525,0.05760461895852441,0.02576156876184674,0.5398886827458256,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.07792207792207792,57,99,383,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c1_max_ce_plus_candidate,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=1, agg=max, score=ce_plus_candidate.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c1_max_ce_plus_candidate"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 1, ""chunk_agg"": ""max"", ""score_mode"": ""ce_plus_candidate""}",197.59159207344055,107.8,539,0.4359813084112149,0.05098650492527648,0.022801858189609208,0.4359925788497217,0.5751644167532018,0.05882634555082839,0.026307941503908916,0.575139146567718,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.05194805194805195,54,82,403,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_max_ce,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=2, agg=max, score=ce.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_max_ce"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""max"", ""score_mode"": ""ce""}",197.59159207344055,107.8,539,0.43404292142609896,0.08862719486021545,0.03963528647251234,0.43413729128014844,0.5621322256836275,0.07658906841244346,0.03425167266072109,0.562152133580705,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.05380333951762523,63,92,384,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_max_ce_plus_candidate,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=2, agg=max, score=ce_plus_candidate.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_max_ce_plus_candidate"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""max"", ""score_mode"": ""ce_plus_candidate""}",197.59159207344055,107.8,539,0.4451713395638629,0.07133431215007385,0.03190167421915086,0.4452690166975881,0.5825372101073036,0.07246630005165378,0.03240791459867887,0.5825602968460112,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.04267161410018553,51,74,414,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_top2_mean_ce,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=2, agg=top2_mean, score=ce.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_top2_mean_ce"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""top2_mean"", ""score_mode"": ""ce""}",197.59159207344055,107.8,539,0.4470231914157147,0.0823053844577388,0.036808086912351726,0.44712430426716143,0.5751124956732434,0.06612572455260263,0.029572323032209268,0.575139146567718,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.04081632653061224,61,83,395,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_top2_mean_ce_plus_candidate,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=20, chunks=2, agg=top2_mean, score=ce_plus_candidate.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d20_c2_top2_mean_ce_plus_candidate"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 20, ""chunks_per_doc"": 2, ""chunk_agg"": ""top2_mean"", ""score_mode"": ""ce_plus_candidate""}",197.59159207344055,107.8,539,0.4489442713741779,0.05694337252567841,0.025465850367102163,0.4489795918367347,0.6011249567324335,0.072515166355161,0.03242976827396913,0.601113172541744,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,candidate_rrf_sparse_deep_legal_lemma_char,-0.03896103896103896,51,72,416,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c1_max_ce,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=50, chunks=1, agg=max, score=ce.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c1_max_ce"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 50, ""chunks_per_doc"": 1, ""chunk_agg"": ""max"", ""score_mode"": ""ce""}",197.59159207344055,107.8,539,0.3654032537210107,0.0493981698238038,0.02209153313802082,0.3654916512059369,0.46931464174454823,0.06337567547133661,0.028342463694774937,0.46938775510204084,0.6438386985115957,0.0776151985115917,0.034710571991811906,0.6437847866419295,candidate_rrf_sparse_deep_legal_lemma_char,-0.12244897959183673,55,121,363,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c1_max_ce_plus_candidate,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=50, chunks=1, agg=max, score=ce_plus_candidate.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c1_max_ce_plus_candidate"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 50, ""chunks_per_doc"": 1, ""chunk_agg"": ""max"", ""score_mode"": ""ce_plus_candidate""}",197.59159207344055,107.8,539,0.3876600899965386,0.05418600366877066,0.02423271752648484,0.3877551020408163,0.5194184839044652,0.06552211492076708,0.029302380598477687,0.5194805194805194,0.6642263759086189,0.07684106416539986,0.03436436858745145,0.6641929499072357,candidate_rrf_sparse_deep_legal_lemma_char,-0.10018552875695733,52,106,381,539
rerank_20260625T183829Z,cv,rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c2_max_ce,P0,"Cross-encoder rerank of rrf_sparse_deep_legal_lemma_char: depth=50, chunks=2, agg=max, score=ce.",ok,5,"{""name"": ""rerank_rrf_sparse_deep_legal_lemma_char_cross_encoder_mmarco_mminilmv2_l12_h384_v1_d50_c2_max_ce"", ""candidate_experiment"": ""rrf_sparse_deep_legal_lemma_char"", ""model_name"": ""cross-encoder/mmarco-mMiniLMv2-L12-H384-v1"", ""depth"": 50, ""chunks_per_doc"": 2, ""chunk_agg"": ""max"", ""score_mode"": ""ce""}",197.59159207344055,107.8,539,0.39319833852544134,0.08862379397364362,0.039633765549800665,0.39332096474953615,0.48418137763932156,0.08151789603359909,0.03645591138277761,0.4842300556586271,0.6437694704049844,0.08732022282087067,0.03905079080757905,0.6437847866419295,candidate_rrf_sparse_deep_legal_lemma_char,-0.09461966604823747,59,110,370,539
